lat, lon, rep_date, source, sensor, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
54.89,-102.43,2017-09-12 01:19:00,NOAA,AVHRR,19.242,C2,5.82773,3.37002,3.91402,3.78012,6843,42.33
54.95,-102.71,2017-09-12 01:19:00,NOAA,AVHRR,23.526,C2,7.43066,3.71776,4.34176,4.10653,9679,42.33
55.18,-102.23,2017-09-12 01:19:00,NOAA,AVHRR,13.155,C2,3.3441,3.03266,3.36866,3.58907,3380,42.33
55.19,-102.25,2017-09-12 01:19:00,NOAA,AVHRR,13.27,C2,3.35787,3.05748,3.39348,3.60655,3418,42.33
54.9,-102.45,2017-09-12 01:19:00,NOAA,AVHRR,19.512,C2,5.90789,3.39957,3.95157,3.80612,7004,42.33
55.18,-103.09,2017-09-12 01:19:00,NOAA,AVHRR,24.832,C1,0.636536,1.31344,1.31344,4.27699,251,42.33
55.36,-102.73,2017-09-12 01:19:00,NOAA,AVHRR,16.552,O1,0.344938,0.35,0.35,0.278534,36,41.88
50.63,-110.66,2017-09-12 01:19:00,NOAA,AVHRR,54.679,O1,39.852,0.35,0.35,0.378116,4184,32.43
50.63,-110.65,2017-09-12 01:19:00,NOAA,AVHRR,54.715,O1,36.5781,0.35,0.35,0.377844,3841,32.43
50.63,-110.63,2017-09-12 01:19:00,NOAA,AVHRR,54.81,O1,34.4538,0.35,0.35,0.378686,3618,32.43
50.64,-110.62,2017-09-12 01:19:00,NOAA,AVHRR,54.928,O1,39.0845,0.35,0.35,0.377615,4104,32.43
50.64,-110.61,2017-09-12 01:19:00,NOAA,AVHRR,54.962,O1,43.6042,0.35,0.35,0.377339,4578,32.43
50.64,-110.57,2017-09-12 01:19:00,NOAA,AVHRR,55.221,O1,32.5885,0.35,0.35,0.381115,3422,32.43
50.64,-110.56,2017-09-12 01:19:00,NOAA,AVHRR,55.27,O1,32.6317,0.35,0.35,0.38243,3426,32.43
50.64,-110.55,2017-09-12 01:19:00,NOAA,AVHRR,55.304,O1,33.7975,0.35,0.35,0.382161,3549,32.43
51.74,-95.03,2017-09-12 01:19:00,NOAA,AVHRR,17.044,O1,0.6881,0.35,0.35,0.240384,72,30.21
55.2,-102.14,2017-09-12 01:19:00,NOAA,AVHRR,12.168,C2,2.99391,2.96517,3.26117,3.50808,2929,42.33
51.74,-95.01,2017-09-12 01:19:00,NOAA,AVHRR,16.852,C2,7.77249,2.09918,2.71518,3.27325,6331,46.35
54.96,-102.71,2017-09-12 01:19:00,NOAA,AVHRR,23.353,C3,1.44902,3.5161,3.5161,4.10152,1528,42.33
55.16,-103.13,2017-09-12 01:19:00,NOAA,AVHRR,25.007,M1,4.27636,2.57158,2.65958,4.25777,3412,39.92
54.82,-102.57,2017-09-12 01:19:00,NOAA,AVHRR,21.888,C2,7.01745,3.51409,4.12209,3.89196,8678,42.33
